Country,Region,Pop. Density (per sq. mi.),Infant mortality (per 1000 births),GDP ($ per capita) dollars

Lithuania,BALTICS,"55,0","6,89",11400 dollars

Luxembourg,WESTERN EUROPE,"183,5","4,81",55100 dollars

Macau,ASIA (EX. NEAR EAST),"16183,0","4,39",19400 dollars

Macedonia,EASTERN EUROPE,"80,9","10,09",6700 dollars

Madagascar,SUB-SAHARAN AFRICA,"31,7","76,83",800 dollars

Malawi,SUB-SAHARAN AFRICA,"109,8","103,32",600 dollars

Malaysia,ASIA (EX. NEAR EAST),unknown,"17,7",9000 dollars

Maldives,ASIA (EX. NEAR EAST),"1196,7","56,52",3900 dollars

Mali,SUB-SAHARAN AFRICA,"9,5","116,79",900 dollars

Malta,WESTERN EUROPE,"1266,5","3,89",17700 dollars

Marshall Islands,OCEANIA,"5,1","29,45",1600 dollars

Martinique,LATIN AMER. & CARIB,"396,5","7,09",14400 dollars

Mauritania,SUB-SAHARAN AFRICA,"3,1","70,89",1800 dollars

Mauritius,SUB-SAHARAN AFRICA,"608,3","15,03",11400 dollars

Mayotte,SUB-SAHARAN AFRICA,"538,1","62,4",2600 dollars

Mexico,LATIN AMER. & CARIB,"54,5","20,91",9000 dollars

"Micronesia, Fed. St.",OCEANIA,"153,9","30,21",2000 dollars

Moldova,C.W. OF IND. STATES,"132,0","40,42",1800 dollars

Monaco,WESTERN EUROPE,"16271,5","5,43",27000 dollars

Mongolia,ASIA (EX. NEAR EAST),"1,8","53,79",1800 dollars

Montserrat,LATIN AMER. & CARIB,"92,5","7,35",3400 dollars

Morocco,NORTHERN AFRICA,"74,4","41,62",4000 dollars

Mozambique,SUB-SAHARAN AFRICA,"24,6","130,79",1200 dollars

Namibia,SUB-SAHARAN AFRICA,"2,5","48,98",7200 dollars

Nauru,OCEANIA,"632,7","9,95",5000 dollars

Nepal,ASIA (EX. NEAR EAST),"192,2","66,98",1400 dollars

Netherlands,WESTERN EUROPE,"397,1","5,04",28600 dollars

Netherlands Antilles,LATIN AMER. & CARIB,"231,0","10,03",11400 dollars

New Caledonia,OCEANIA,"11,5","7,72",15000 dollars

New Zealand,OCEANIA,"15,2","5,85",21600 dollars

Nicaragua,LATIN AMER. & CARIB,"43,0","29,11",2300 dollars

Niger,SUB-SAHARAN AFRICA,"9,9","121,69",800 dollars

Nigeria,SUB-SAHARAN AFRICA,"142,7","98,8",900 dollars

N. Mariana Islands,OCEANIA,"172,9","7,11",12500 dollars

Norway,WESTERN EUROPE,"14,2","3,7",37800 dollars

Oman,NEAR EAST,"14,6","19,51",13100 dollars

Pakistan,ASIA (EX. NEAR EAST),"206,2","72,44",2100 dollars

Palau,OCEANIA,"44,9","14,84",9000 dollars

Panama,LATIN AMER. & CARIB,"40,8","20,47",6300 dollars

Papua New Guinea,OCEANIA,"12,3","51,45",2200 dollars

Paraguay,LATIN AMER. & CARIB,"16,0","25,63",4700 dollars

Peru,LATIN AMER. & CARIB,"22,0","31,94",5100 dollars

Philippines,ASIA (EX. NEAR EAST),"298,2","23,51",4600 dollars

Poland,EASTERN EUROPE,"123,3","8,51",11100 dollars

Portugal,WESTERN EUROPE,"114,8","5,05",18000 dollars

Puerto Rico,LATIN AMER. & CARIB,"284,8","8,24",16800 dollars

Qatar,NEAR EAST,"77,4","18,61",21500 dollars

Reunion,SUB-SAHARAN AFRICA,"312,9","7,78",5800 dollars

Romania,EASTERN EUROPE,"93,9","26,43",7000 dollars

Russia,C.W. OF IND. STATES,"8,4","15,39",8900 dollars

